Place_Name,State_FIPS,Place_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Dobbins Heights town,37,17325,3717325,342,80.5,293,68.9
Dobson town,37,17340,3717340,485,81.6,375,63.1
Dortches town,37,17520,3717520,304,86.6,290,82.6
Dover town,37,17660,3717660,88,67.7,70,53.8
Drexel town,37,17860,3717860,672,90.3,607,81.6
Dublin town,37,18040,3718040,127,93.4,127,93.4
Duck town,37,18060,3718060,286,99.0,276,95.5
Dudley CDP,37,18080,3718080,387,98.0,387,98.0
Dundarrach CDP,37,18300,3718300,24,100.0,24,100.0
Dunn city,37,18320,3718320,3583,86.7,2832,68.5
Durham city,37,19000,3719000,107828,94.2,101450,88.7
Earl town,37,19140,3719140,133,93.7,119,83.8
East Arcadia town,37,19300,3719300,214,92.6,170,73.6
East Bend town,37,19320,3719320,206,88.8,169,72.8
East Flat Rock CDP,37,19420,3719420,1897,89.4,1830,86.2
East Laurinburg town,37,19620,3719620,94,71.2,78,59.1
Eastover town,37,19740,3719740,1250,90.1,1266,91.2
East Rockingham CDP,37,19800,3719800,1050,81.0,927,71.5
East Spencer town,37,19860,3719860,533,83.2,406,63.3
Fremont town,37,24900,3724900,384,85.3,302,67.1
Frisco CDP,37,25020,3725020,395,93.2,368,86.8
Fruitland CDP,37,25160,3725160,870,85.1,738,72.2
Fuquay-Varina town,37,25300,3725300,9367,94.2,9032,90.9
Gamewell town,37,25380,3725380,1277,82.7,1268,82.1
Garland town,37,25460,3725460,312,87.4,269,75.4
Garner town,37,25480,3725480,11240,95.4,10918,92.7
Garysburg town,37,25540,3725540,343,81.5,226,53.7
Gaston town,37,25560,3725560,372,68.0,281,51.4
Gastonia city,37,25580,3725580,26252,89.6,24319,83.0
Gatesville town,37,25680,3725680,101,93.5,84,77.8
Germanton CDP,37,25880,3725880,408,83.8,378,77.6
Gerton CDP,37,25900,3725900,121,83.4,121,83.4
Gibson town,37,25940,3725940,207,79.0,176,67.2
Gibsonville town,37,25980,3725980,2456,92.6,2241,84.5
Glen Alpine town,37,26200,3726200,602,85.3,536,75.9
Glen Raven CDP,37,26460,3726460,1071,89.5,1005,84.0
Glenville CDP,37,26520,3726520,40,100.0,40,100.0
Glenwood CDP,37,26560,3726560,84,68.9,84,68.9
Gloucester CDP,37,26680,3726680,182,97.3,182,97.3
Godwin town,37,26740,3726740,63,74.1,52,61.2
Gold Hill CDP,37,26800,3726800,89,88.1,89,88.1
Goldsboro city,37,26880,3726880,12197,83.4,11760,80.4
Goldston town,37,26920,3726920,116,85.3,102,75.0
Gorman CDP,37,27120,3727120,201,64.2,217,69.3
Governors Club CDP,37,27180,3727180,716,100.0,716,100.0
Governors Village CDP,37,27182,3727182,626,98.0,622,97.3
Graham city,37,27280,3727280,5806,90.4,5361,83.5
Graingers CDP,37,27300,3727300,29,65.9,18,40.9
Grandfather Village village,37,27324,3727324,34,100.0,29,85.3
Grandy CDP,37,27400,3727400,1237,96.4,1160,90.4
Granite Falls town,37,27420,3727420,1683,94.4,1681,94.3
Granite Quarry town,37,27440,3727440,979,95.0,898,87.2
Grantsboro town,37,27520,3727520,242,96.0,215,85.3
Greenevers town,37,27780,3727780,224,64.2,192,55.0
Green Level town,37,27870,3727870,711,80.7,607,68.9
Greensboro city,37,28000,3728000,105876,89.6,94201,79.7
Greenville city,37,28080,3728080,34042,92.4,31325,85.0
Grifton town,37,28200,3728200,957,79.0,901,74.3
Grimesland town,37,28240,3728240,158,81.9,138,71.5
Grover town,37,28400,3728400,209,80.1,194,74.3
Gulf CDP,37,28600,3728600,0,-666666666.0,0,-666666666.0
Half Moon CDP,37,28900,3728900,2864,98.3,2794,95.8
Halifax town,37,28920,3728920,129,94.9,21,15.4
Hallsboro CDP,37,29000,3729000,92,54.8,101,60.1
Hamilton town,37,29120,3729120,84,76.4,57,51.8
Hamlet city,37,29160,3729160,2145,85.2,1973,78.3
Hampstead CDP,37,29180,3729180,2170,94.7,2080,90.8
Harkers Island CDP,37,29560,3729560,438,81.4,434,80.7
