Census_Tract_Name,County_Name,State_FIPS,County_FIPS,Census_Tract_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Census Tract 618.08, Davidson ,37,057,061808,37057061808,1731,90.5,1626,85.0
Census Tract 619.02, Davidson ,37,057,061902,37057061902,2016,87.4,1727,74.9
Census Tract 619.03, Davidson ,37,057,061903,37057061903,1151,86.9,968,73.1
Census Tract 619.04, Davidson ,37,057,061904,37057061904,913,86.8,874,83.1
Census Tract 620.01, Davidson ,37,057,062001,37057062001,1807,96.0,1578,83.8
Census Tract 620.02, Davidson ,37,057,062002,37057062002,1241,81.8,1138,75.0
Census Tract 801.01, Davie ,37,059,080101,37059080101,1488,90.2,1384,83.9
Census Tract 801.02, Davie ,37,059,080102,37059080102,1016,90.9,984,88.0
Census Tract 802, Davie ,37,059,080200,37059080200,2184,89.6,2086,85.6
Census Tract 803.01, Davie ,37,059,080301,37059080301,2357,95.6,2377,96.4
Census Tract 803.02, Davie ,37,059,080302,37059080302,1069,89.9,1009,84.9
Census Tract 804, Davie ,37,059,080400,37059080400,1814,92.2,1850,94.1
Census Tract 805, Davie ,37,059,080500,37059080500,1508,92.4,1378,84.4
Census Tract 411.05, Johnston ,37,101,041105,37101041105,1308,97.7,1158,86.5
Census Tract 411.06, Johnston ,37,101,041106,37101041106,1496,95.7,1358,86.9
Census Tract 411.07, Johnston ,37,101,041107,37101041107,1518,100.0,1433,94.4
Census Tract 411.08, Johnston ,37,101,041108,37101041108,1192,100.0,1042,87.4
Census Tract 411.09, Johnston ,37,101,041109,37101041109,1062,100.0,1036,97.6
Census Tract 411.10, Johnston ,37,101,041110,37101041110,1089,98.0,1056,95.0
Census Tract 411.11, Johnston ,37,101,041111,37101041111,1327,100.0,1273,95.9
Census Tract 411.12, Johnston ,37,101,041112,37101041112,1329,93.8,1358,95.8
Census Tract 411.13, Johnston ,37,101,041113,37101041113,874,97.2,744,82.8
Census Tract 412.03, Johnston ,37,101,041203,37101041203,467,79.7,320,54.6
Census Tract 412.04, Johnston ,37,101,041204,37101041204,551,92.3,494,82.7
Census Tract 412.05, Johnston ,37,101,041205,37101041205,951,86.1,712,64.4
Census Tract 412.06, Johnston ,37,101,041206,37101041206,1084,90.4,1004,83.7
Census Tract 413.01, Johnston ,37,101,041301,37101041301,667,81.5,614,75.1
Census Tract 413.02, Johnston ,37,101,041302,37101041302,1260,89.8,943,67.2
Census Tract 414.01, Johnston ,37,101,041401,37101041401,1043,82.5,774,61.2
Census Tract 414.02, Johnston ,37,101,041402,37101041402,1422,84.9,1291,77.1
Census Tract 415.04, Johnston ,37,101,041504,37101041504,1270,97.9,1191,91.8
Census Tract 415.05, Johnston ,37,101,041505,37101041505,1204,85.6,955,67.9
Census Tract 415.06, Johnston ,37,101,041506,37101041506,580,96.7,388,64.7
Census Tract 415.07, Johnston ,37,101,041507,37101041507,1383,97.3,1291,90.9
Census Tract 415.08, Johnston ,37,101,041508,37101041508,926,96.9,816,85.4
Census Tract 415.09, Johnston ,37,101,041509,37101041509,1169,96.0,1115,91.5
